Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:68, train_loss:1.03251, train_acc:0.45655, val_loss=1.01143, val_acc=0.52160
T:69, train_loss:1.02379, train_acc:0.46588, val_loss=1.01253, val_acc=0.53858
T:70, train_loss:1.01534, train_acc:0.46805, val_loss=0.99117, val_acc=0.53549
T:71, train_loss:1.01011, train_acc:0.48383, val_loss=1.04111, val_acc=0.51852
T:72, train_loss:1.00861, train_acc:0.47293, val_loss=1.05070, val_acc=0.54012
T:73, train_loss:1.00615, train_acc:0.48056, val_loss=1.02962, val_acc=0.53241
T:74, train_loss:1.00384, train_acc:0.48539, val_loss=1.00267, val_acc=0.50000
T:75, train_loss:1.01027, train_acc:0.48386, val_loss=1.03175, val_acc=0.53395
T:76, train_loss:1.00861, train_acc:0.48309, val_loss=1.05529, val_acc=0.47994
T:77, train_loss:1.01009, train_acc:0.48892, val_loss=0.98108, val_acc=0.53395
T:78, train_loss:1.01504, train_acc:0.49004, val_loss=0.99429, val_acc=0.54167
T:79, train_loss:1.02001, train_acc:0.49523, val_loss=0.98803, val_acc=0.53858
T:80, train_loss:1.01604, train_acc:0.48892, val_loss=0.98930, val_acc=0.52623
T:81, train_loss:1.00892, train_acc:0.48339, val_loss=0.99066, val_acc=0.53858
T:82, train_loss:1.02156, train_acc:0.46565, val_loss=0.97102, val_acc=0.52006
T:83, train_loss:1.00465, train_acc:0.48940, val_loss=0.97726, val_acc=0.51235
T:84, train_loss:1.00841, train_acc:0.48350, val_loss=0.98656, val_acc=0.50926
T:85, train_loss:1.00952, train_acc:0.48392, val_loss=0.98281, val_acc=0.52160
T:86, train_loss:1.01082, train_acc:0.47638, val_loss=1.00094, val_acc=0.51080
T:87, train_loss:0.99972, train_acc:0.48698, val_loss=1.02390, val_acc=0.47840
T:88, train_loss:0.99741, train_acc:0.49535, val_loss=1.04270, val_acc=0.52315
T:89, train_loss:0.99570, train_acc:0.51096, val_loss=1.05536, val_acc=0.51543
T:90, train_loss:1.00750, train_acc:0.49352, val_loss=0.97761, val_acc=0.54167
T:91, train_loss:0.99361, train_acc:0.50424, val_loss=0.96835, val_acc=0.53704
T:92, train_loss:0.98324, train_acc:0.51225, val_loss=1.01044, val_acc=0.52006
T:93, train_loss:0.98601, train_acc:0.51243, val_loss=1.02616, val_acc=0.48457
T:94, train_loss:0.99676, train_acc:0.49440, val_loss=1.02100, val_acc=0.49383
T:95, train_loss:1.00965, train_acc:0.48480, val_loss=1.00482, val_acc=0.50309
T:96, train_loss:0.99943, train_acc:0.49582, val_loss=1.02593, val_acc=0.51852
T:97, train_loss:1.02546, train_acc:0.47048, val_loss=1.07723, val_acc=0.53086
T:98, train_loss:1.01459, train_acc:0.46495, val_loss=1.09462, val_acc=0.50463
T:99, train_loss:1.01135, train_acc:0.48692, val_loss=1.00795, val_acc=0.53395
T:100, train_loss:1.04860, train_acc:0.42176, val_loss=1.02165, val_acc=0.52006
T:101, train_loss:1.02664, train_acc:0.47508, val_loss=1.10526, val_acc=0.31327
T:102, train_loss:1.00808, train_acc:0.49299, val_loss=1.14018, val_acc=0.53549
T:103, train_loss:1.00343, train_acc:0.49228, val_loss=1.04312, val_acc=0.51080
T:104, train_loss:1.01059, train_acc:0.48345, val_loss=1.02047, val_acc=0.53241
T:105, train_loss:1.01027, train_acc:0.48904, val_loss=1.29191, val_acc=0.52006
T:106, train_loss:1.01049, train_acc:0.48810, val_loss=1.05212, val_acc=0.53858
T:107, train_loss:1.01648, train_acc:0.48315, val_loss=1.18710, val_acc=0.52469
T:108, train_loss:1.00830, train_acc:0.49093, val_loss=1.02832, val_acc=0.54784
T:109, train_loss:1.02109, train_acc:0.48627, val_loss=1.10680, val_acc=0.54475
T:110, train_loss:1.02274, train_acc:0.48798, val_loss=1.11194, val_acc=0.53858
T:111, train_loss:1.02178, train_acc:0.47460, val_loss=1.02006, val_acc=0.53086
T:112, train_loss:1.01468, train_acc:0.47397, val_loss=1.03224, val_acc=0.54938
T:113, train_loss:1.01758, train_acc:0.47656, val_loss=1.02419, val_acc=0.53395
T:114, train_loss:1.01257, train_acc:0.48100, val_loss=1.11481, val_acc=0.54784
T:115, train_loss:1.00292, train_acc:0.48648, val_loss=1.15569, val_acc=0.55247
T:116, train_loss:1.00361, train_acc:0.48290, val_loss=1.22882, val_acc=0.53549
T:117, train_loss:0.99748, train_acc:0.49265, val_loss=1.18326, val_acc=0.54938
