Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.30991, train_acc:0.34815, val_loss=1.42082, val_acc=0.27469
T:1, train_loss:1.57448, train_acc:0.25873, val_loss=1.20652, val_acc=0.26852
T:2, train_loss:1.60273, train_acc:0.28629, val_loss=1.32705, val_acc=0.28858
T:3, train_loss:1.61906, train_acc:0.29678, val_loss=1.19547, val_acc=0.26389
T:4, train_loss:1.17639, train_acc:0.36842, val_loss=1.20697, val_acc=0.26389
T:5, train_loss:1.10854, train_acc:0.34900, val_loss=1.10433, val_acc=0.25772
T:6, train_loss:1.10177, train_acc:0.33171, val_loss=1.09956, val_acc=0.26080
T:7, train_loss:1.09271, train_acc:0.36076, val_loss=1.09799, val_acc=0.27006
T:8, train_loss:1.08524, train_acc:0.36914, val_loss=1.09487, val_acc=0.43519
T:9, train_loss:1.09277, train_acc:0.36111, val_loss=1.08813, val_acc=0.46296
T:10, train_loss:1.07604, train_acc:0.39197, val_loss=1.26588, val_acc=0.46451
T:11, train_loss:1.06448, train_acc:0.40357, val_loss=1.95676, val_acc=0.46142
T:12, train_loss:1.05794, train_acc:0.40859, val_loss=1.16986, val_acc=0.45833
T:13, train_loss:1.04912, train_acc:0.40921, val_loss=1.39677, val_acc=0.46142
T:14, train_loss:1.04814, train_acc:0.40994, val_loss=2.62643, val_acc=0.46296
T:15, train_loss:1.05932, train_acc:0.40013, val_loss=2.18306, val_acc=0.45833
T:16, train_loss:1.04835, train_acc:0.41737, val_loss=2.62153, val_acc=0.46451
T:17, train_loss:1.04545, train_acc:0.41578, val_loss=2.74789, val_acc=0.46142
T:18, train_loss:1.03423, train_acc:0.41827, val_loss=4.28907, val_acc=0.45833
T:19, train_loss:1.05338, train_acc:0.40688, val_loss=3.52833, val_acc=0.45988
T:20, train_loss:1.06054, train_acc:0.41711, val_loss=2.16375, val_acc=0.45988
T:21, train_loss:1.05470, train_acc:0.42208, val_loss=3.67287, val_acc=0.46296
T:22, train_loss:1.04148, train_acc:0.41793, val_loss=2.36319, val_acc=0.45833
T:23, train_loss:1.04098, train_acc:0.42851, val_loss=2.62555, val_acc=0.46296
T:24, train_loss:1.04691, train_acc:0.42894, val_loss=2.29430, val_acc=0.47531
T:25, train_loss:1.04460, train_acc:0.43818, val_loss=2.51158, val_acc=0.44136
T:26, train_loss:1.03933, train_acc:0.42483, val_loss=2.35389, val_acc=0.45216
T:27, train_loss:1.03365, train_acc:0.43743, val_loss=3.71008, val_acc=0.45216
T:28, train_loss:1.03353, train_acc:0.42894, val_loss=2.91881, val_acc=0.45833
T:29, train_loss:1.03579, train_acc:0.43773, val_loss=3.04754, val_acc=0.43519
T:30, train_loss:1.03774, train_acc:0.43002, val_loss=2.74751, val_acc=0.44907
T:31, train_loss:1.03825, train_acc:0.43379, val_loss=4.67855, val_acc=0.44907
T:32, train_loss:1.04203, train_acc:0.43959, val_loss=9.20261, val_acc=0.45988
T:33, train_loss:1.05037, train_acc:0.43798, val_loss=10.73320, val_acc=0.45833
T:34, train_loss:1.04177, train_acc:0.44921, val_loss=6.42790, val_acc=0.47377
T:35, train_loss:1.03711, train_acc:0.44346, val_loss=5.52679, val_acc=0.48148
T:36, train_loss:1.03752, train_acc:0.44233, val_loss=5.39126, val_acc=0.48457
T:37, train_loss:1.05642, train_acc:0.44783, val_loss=4.80996, val_acc=0.48148
T:38, train_loss:1.04165, train_acc:0.43946, val_loss=4.72012, val_acc=0.48457
T:39, train_loss:1.02998, train_acc:0.44981, val_loss=5.17720, val_acc=0.44907
T:40, train_loss:1.03539, train_acc:0.44919, val_loss=5.85514, val_acc=0.46605
T:41, train_loss:1.02973, train_acc:0.44919, val_loss=4.80433, val_acc=0.44599
T:42, train_loss:1.08697, train_acc:0.44272, val_loss=5.74160, val_acc=0.47068
T:43, train_loss:1.07560, train_acc:0.44383, val_loss=2.11072, val_acc=0.48611
T:44, train_loss:1.05407, train_acc:0.44728, val_loss=1.15331, val_acc=0.45370
T:45, train_loss:1.03634, train_acc:0.46101, val_loss=1.08867, val_acc=0.50309
T:46, train_loss:1.03190, train_acc:0.45362, val_loss=1.03751, val_acc=0.48457
T:47, train_loss:1.03159, train_acc:0.45978, val_loss=1.03723, val_acc=0.50617
T:48, train_loss:1.03273, train_acc:0.45609, val_loss=1.05135, val_acc=0.50772
T:49, train_loss:1.02790, train_acc:0.46823, val_loss=1.04907, val_acc=0.51852
T:50, train_loss:1.02210, train_acc:0.47088, val_loss=1.02727, val_acc=0.47994
T:51, train_loss:1.05132, train_acc:0.43463, val_loss=1.03301, val_acc=0.48302
T:52, train_loss:1.06122, train_acc:0.43415, val_loss=1.06837, val_acc=0.44753
T:53, train_loss:1.02554, train_acc:0.45035, val_loss=1.01794, val_acc=0.44907
T:54, train_loss:1.02768, train_acc:0.46016, val_loss=1.00663, val_acc=0.50926
T:55, train_loss:1.02024, train_acc:0.46269, val_loss=1.02000, val_acc=0.44444
T:56, train_loss:1.01348, train_acc:0.48461, val_loss=1.03708, val_acc=0.47068
T:57, train_loss:1.00252, train_acc:0.48010, val_loss=1.01488, val_acc=0.48611
T:58, train_loss:1.02033, train_acc:0.47992, val_loss=1.01538, val_acc=0.48457
T:59, train_loss:1.00109, train_acc:0.48070, val_loss=1.00652, val_acc=0.51080
T:60, train_loss:1.00031, train_acc:0.49666, val_loss=1.00291, val_acc=0.50463
T:61, train_loss:1.00573, train_acc:0.47696, val_loss=1.01475, val_acc=0.50309
T:62, train_loss:1.01314, train_acc:0.47787, val_loss=1.02522, val_acc=0.50309
T:63, train_loss:1.01399, train_acc:0.47456, val_loss=1.05941, val_acc=0.44907
T:64, train_loss:1.01569, train_acc:0.47010, val_loss=1.02259, val_acc=0.52469
T:65, train_loss:1.01405, train_acc:0.47233, val_loss=1.02796, val_acc=0.52006
T:66, train_loss:1.02066, train_acc:0.46335, val_loss=1.00922, val_acc=0.50617
T:67, train_loss:1.01402, train_acc:0.47793, val_loss=1.01414, val_acc=0.53704
T:68, train_loss:1.02741, train_acc:0.48564, val_loss=1.01756, val_acc=0.52469
T:69, train_loss:1.04434, train_acc:0.44794, val_loss=1.01491, val_acc=0.50617
T:70, train_loss:1.01275, train_acc:0.48022, val_loss=1.00747, val_acc=0.51080
T:71, train_loss:1.01708, train_acc:0.48588, val_loss=1.06158, val_acc=0.47840
T:72, train_loss:1.01433, train_acc:0.49003, val_loss=1.03383, val_acc=0.50926
T:73, train_loss:1.03437, train_acc:0.46471, val_loss=1.05872, val_acc=0.51389
T:74, train_loss:1.00555, train_acc:0.50884, val_loss=1.01557, val_acc=0.47840
T:75, train_loss:1.03591, train_acc:0.46813, val_loss=1.01803, val_acc=0.52315
T:76, train_loss:1.02345, train_acc:0.47850, val_loss=1.00732, val_acc=0.54167
T:77, train_loss:1.02482, train_acc:0.47125, val_loss=0.98890, val_acc=0.47531
T:78, train_loss:1.01284, train_acc:0.49128, val_loss=1.00038, val_acc=0.52006
T:79, train_loss:1.03721, train_acc:0.45534, val_loss=0.99908, val_acc=0.51080
T:80, train_loss:1.01843, train_acc:0.48851, val_loss=1.03693, val_acc=0.47222
T:81, train_loss:1.00951, train_acc:0.50200, val_loss=0.98906, val_acc=0.52469
T:82, train_loss:1.01197, train_acc:0.49670, val_loss=1.05561, val_acc=0.54012
T:83, train_loss:1.01552, train_acc:0.49487, val_loss=1.20080, val_acc=0.52160
T:84, train_loss:1.03475, train_acc:0.48174, val_loss=0.97227, val_acc=0.52006
T:85, train_loss:1.01421, train_acc:0.50907, val_loss=1.02888, val_acc=0.51080
T:86, train_loss:1.00321, train_acc:0.51762, val_loss=0.98732, val_acc=0.53086
T:87, train_loss:0.99435, train_acc:0.51797, val_loss=0.98372, val_acc=0.52623
T:88, train_loss:0.99882, train_acc:0.50012, val_loss=0.97985, val_acc=0.54475
T:89, train_loss:0.99612, train_acc:0.49829, val_loss=0.99882, val_acc=0.51389
T:90, train_loss:1.00579, train_acc:0.49535, val_loss=0.99538, val_acc=0.52315
T:91, train_loss:1.00069, train_acc:0.49953, val_loss=0.98002, val_acc=0.55093
T:92, train_loss:0.99640, train_acc:0.50371, val_loss=1.06167, val_acc=0.52006
T:93, train_loss:0.99237, train_acc:0.49853, val_loss=0.99566, val_acc=0.51698
T:94, train_loss:1.02329, train_acc:0.47237, val_loss=1.22150, val_acc=0.50617
T:95, train_loss:1.01009, train_acc:0.49688, val_loss=1.15706, val_acc=0.52469
T:96, train_loss:1.00544, train_acc:0.49835, val_loss=1.05227, val_acc=0.53241
T:97, train_loss:1.00393, train_acc:0.49994, val_loss=1.02917, val_acc=0.49691
T:98, train_loss:0.99944, train_acc:0.49682, val_loss=1.07914, val_acc=0.54630
T:99, train_loss:0.99835, train_acc:0.49864, val_loss=1.31237, val_acc=0.54167
T:100, train_loss:1.00821, train_acc:0.48439, val_loss=1.16413, val_acc=0.52006
T:101, train_loss:1.04939, train_acc:0.44474, val_loss=1.23366, val_acc=0.53704
T:102, train_loss:1.02253, train_acc:0.48527, val_loss=1.07527, val_acc=0.44753
T:103, train_loss:0.99559, train_acc:0.49965, val_loss=1.11637, val_acc=0.49228
T:104, train_loss:0.99536, train_acc:0.50112, val_loss=1.20143, val_acc=0.49691
T:105, train_loss:0.99472, train_acc:0.50819, val_loss=1.35710, val_acc=0.52469
T:106, train_loss:0.99359, train_acc:0.49735, val_loss=1.64338, val_acc=0.53395
T:107, train_loss:0.98761, train_acc:0.50259, val_loss=1.50276, val_acc=0.53086
T:108, train_loss:1.02333, train_acc:0.48156, val_loss=1.58047, val_acc=0.49846
T:109, train_loss:1.02046, train_acc:0.49570, val_loss=1.36899, val_acc=0.55093
T:110, train_loss:1.02313, train_acc:0.48175, val_loss=1.37713, val_acc=0.53704
T:111, train_loss:1.02660, train_acc:0.47777, val_loss=1.42742, val_acc=0.54167
T:112, train_loss:1.02167, train_acc:0.48077, val_loss=1.30108, val_acc=0.54938
T:113, train_loss:1.02545, train_acc:0.47299, val_loss=1.33308, val_acc=0.53395
T:114, train_loss:1.00917, train_acc:0.48677, val_loss=1.32832, val_acc=0.55093
T:115, train_loss:1.00850, train_acc:0.49542, val_loss=1.07943, val_acc=0.57099
T:116, train_loss:1.00820, train_acc:0.49282, val_loss=1.04802, val_acc=0.55864
T:117, train_loss:1.01785, train_acc:0.47575, val_loss=1.12779, val_acc=0.53549
T:118, train_loss:1.01561, train_acc:0.47074, val_loss=1.19115, val_acc=0.52932
T:119, train_loss:1.00081, train_acc:0.48365, val_loss=1.06003, val_acc=0.53858
T:120, train_loss:1.00351, train_acc:0.49397, val_loss=1.30455, val_acc=0.52469
T:121, train_loss:1.00193, train_acc:0.48654, val_loss=1.21511, val_acc=0.52469
T:122, train_loss:0.98585, train_acc:0.50752, val_loss=1.24335, val_acc=0.54938
T:123, train_loss:0.98377, train_acc:0.50297, val_loss=1.93125, val_acc=0.51389
