T:73, train_loss:1.02657, train_acc:0.49140, val_loss=1.06680, val_acc=0.50463
T:74, train_loss:1.02927, train_acc:0.49464, val_loss=1.12262, val_acc=0.49846
T:75, train_loss:1.03616, train_acc:0.47856, val_loss=1.10345, val_acc=0.48920
T:76, train_loss:1.03627, train_acc:0.48032, val_loss=1.11061, val_acc=0.47377
T:77, train_loss:1.03577, train_acc:0.48297, val_loss=1.06271, val_acc=0.48302
T:78, train_loss:1.04087, train_acc:0.46789, val_loss=1.07210, val_acc=0.51698
T:79, train_loss:1.03791, train_acc:0.46795, val_loss=1.15997, val_acc=0.50772
T:80, train_loss:1.04763, train_acc:0.43897, val_loss=1.13141, val_acc=0.50772
T:81, train_loss:1.04452, train_acc:0.45405, val_loss=1.23513, val_acc=0.48457
T:82, train_loss:1.03790, train_acc:0.47025, val_loss=1.58655, val_acc=0.50463
T:83, train_loss:1.03830, train_acc:0.46777, val_loss=1.44402, val_acc=0.46914
T:84, train_loss:1.02761, train_acc:0.47638, val_loss=1.01071, val_acc=0.50926
T:85, train_loss:1.02226, train_acc:0.47914, val_loss=1.08544, val_acc=0.41821
T:86, train_loss:1.02837, train_acc:0.48998, val_loss=1.01372, val_acc=0.50772
T:87, train_loss:1.02054, train_acc:0.48616, val_loss=1.14512, val_acc=0.51080
T:88, train_loss:1.02816, train_acc:0.47455, val_loss=1.20307, val_acc=0.42130
T:89, train_loss:1.01700, train_acc:0.48227, val_loss=1.20396, val_acc=0.51698
T:90, train_loss:1.02529, train_acc:0.46135, val_loss=1.08519, val_acc=0.51389
T:91, train_loss:1.04058, train_acc:0.44639, val_loss=1.17932, val_acc=0.49228
T:92, train_loss:1.01861, train_acc:0.48044, val_loss=1.04416, val_acc=0.52932
T:93, train_loss:1.01038, train_acc:0.47708, val_loss=1.11238, val_acc=0.49228
T:94, train_loss:1.02063, train_acc:0.48044, val_loss=1.20787, val_acc=0.50000
T:95, train_loss:1.01699, train_acc:0.47779, val_loss=1.30489, val_acc=0.50772
