Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:68, train_loss:0.94270, train_acc:0.53165, val_loss=1.22009, val_acc=0.46296
T:69, train_loss:0.92943, train_acc:0.52749, val_loss=1.17658, val_acc=0.45525
T:70, train_loss:0.91228, train_acc:0.54219, val_loss=1.27607, val_acc=0.44753
T:71, train_loss:0.91813, train_acc:0.53984, val_loss=1.31575, val_acc=0.45216
T:72, train_loss:0.89273, train_acc:0.54520, val_loss=1.23050, val_acc=0.46605
T:73, train_loss:0.89793, train_acc:0.54578, val_loss=1.32410, val_acc=0.46605
T:74, train_loss:0.90577, train_acc:0.54642, val_loss=1.25761, val_acc=0.46914
T:75, train_loss:0.92488, train_acc:0.54024, val_loss=1.26232, val_acc=0.45988
T:76, train_loss:0.92119, train_acc:0.54902, val_loss=1.20409, val_acc=0.45833
T:77, train_loss:0.92263, train_acc:0.54525, val_loss=1.23560, val_acc=0.46605
T:78, train_loss:0.91204, train_acc:0.54230, val_loss=1.20886, val_acc=0.47222
T:79, train_loss:0.90670, train_acc:0.54748, val_loss=1.41017, val_acc=0.46451
T:80, train_loss:0.92194, train_acc:0.55332, val_loss=1.16429, val_acc=0.47068
T:81, train_loss:0.92554, train_acc:0.55520, val_loss=1.13844, val_acc=0.47840
T:82, train_loss:0.93373, train_acc:0.55803, val_loss=1.17873, val_acc=0.47685
T:83, train_loss:0.93612, train_acc:0.54248, val_loss=1.19898, val_acc=0.46451
T:84, train_loss:0.94210, train_acc:0.53299, val_loss=1.13997, val_acc=0.47377
T:85, train_loss:0.92561, train_acc:0.55885, val_loss=1.13332, val_acc=0.47377
T:86, train_loss:0.92743, train_acc:0.55520, val_loss=1.13336, val_acc=0.47994
T:87, train_loss:0.91632, train_acc:0.56622, val_loss=1.07752, val_acc=0.45833
T:88, train_loss:0.91750, train_acc:0.56498, val_loss=1.09676, val_acc=0.48148
T:89, train_loss:0.90867, train_acc:0.56581, val_loss=1.10183, val_acc=0.47685
T:90, train_loss:0.92374, train_acc:0.55497, val_loss=1.14375, val_acc=0.47531
T:91, train_loss:0.90836, train_acc:0.56139, val_loss=1.11672, val_acc=0.45062
T:92, train_loss:0.89985, train_acc:0.56740, val_loss=1.11107, val_acc=0.46605
T:93, train_loss:0.88723, train_acc:0.57688, val_loss=1.09630, val_acc=0.45525
T:94, train_loss:0.89864, train_acc:0.56787, val_loss=1.11555, val_acc=0.45833
T:95, train_loss:0.90052, train_acc:0.56881, val_loss=1.15433, val_acc=0.44599
T:96, train_loss:0.88542, train_acc:0.57641, val_loss=1.17878, val_acc=0.44444
T:97, train_loss:0.89567, train_acc:0.56752, val_loss=1.23233, val_acc=0.43981
T:98, train_loss:0.90042, train_acc:0.56463, val_loss=1.17762, val_acc=0.45370
T:99, train_loss:0.89518, train_acc:0.56398, val_loss=1.21141, val_acc=0.45062
T:100, train_loss:0.90871, train_acc:0.56204, val_loss=1.26938, val_acc=0.42747
T:101, train_loss:0.91672, train_acc:0.55120, val_loss=1.18311, val_acc=0.44444
T:102, train_loss:0.90565, train_acc:0.55220, val_loss=1.28502, val_acc=0.43827
