Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,24/08/2018,0:00:00,Bayern Munich,Hoffenheim,3,1,H,1,0,H,asasd,16,8,5,5,2,21,7,2,1,4,0,0
D1,25/08/2018,0:00:00,Fortuna Dusseldorf,Augsburg,1,2,A,1,0,H,asasd,9,14,5,7,11,10,7,5,1,0,0,0
D1,25/08/2018,0:00:00,Freiburg,Ein Frankfurt,0,2,A,0,1,A,asasd,22,10,6,2,7,12,6,4,1,2,0,0
D1,25/08/2018,0:00:00,Hertha,Nurnberg,1,0,H,1,0,H,asasd,10,12,3,3,13,10,8,4,2,2,0,0
D1,25/08/2018,0:00:00,M'gladbach,Leverkusen,2,0,H,0,0,D,asasd,17,13,7,3,10,10,9,5,1,2,0,0
D1,25/08/2018,0:00:00,Werder Bremen,Hannover,1,1,D,0,0,D,asasd,15,13,3,4,5,6,4,3,0,0,0,0
D1,25/08/2018,0:00:00,Wolfsburg,Schalke 04,2,1,H,1,0,H,asasd,11,9,7,4,16,11,7,2,5,3,0,1
D1,26/08/2018,0:00:00,Dortmund,RB Leipzig,4,1,H,3,1,H,asasd,10,10,5,7,8,11,7,9,2,2,0,0
D1,26/08/2018,0:00:00,Mainz,Stuttgart,1,0,H,0,0,D,asasd,8,12,3,3,15,6,6,3,1,2,0,0
D1,31/08/2018,0:00:00,Hannover,Dortmund,0,0,D,0,0,D,asasd,7,8,0,3,11,5,4,1,0,0,0,0
D1,1/9/2018,0:00:00,Augsburg,M'gladbach,1,1,D,1,0,H,asasd,18,7,7,2,12,12,9,4,1,2,0,0
D1,1/9/2018,0:00:00,Ein Frankfurt,Werder Bremen,1,2,A,0,1,A,asasd,5,11,1,6,6,11,8,3,1,2,1,0
D1,1/9/2018,0:00:00,Hoffenheim,Freiburg,3,1,H,0,1,A,asasd,20,9,7,4,13,14,6,4,1,2,0,0
D1,1/9/2018,0:00:00,Leverkusen,Wolfsburg,1,3,A,1,1,D,asasd,16,12,3,5,13,13,5,3,3,3,0,0
D1,1/9/2018,0:00:00,Nurnberg,Mainz,1,1,D,0,1,A,asasd,19,6,4,1,10,11,5,1,2,2,0,0
D1,1/9/2018,0:00:00,Stuttgart,Bayern Munich,0,3,A,0,1,A,asasd,4,20,0,6,3,5,0,12,0,0,0,0
D1,2/9/2018,0:00:00,RB Leipzig,Fortuna Dusseldorf,1,1,D,0,0,D,asasd,23,14,7,8,11,15,3,3,1,4,0,0
D1,2/9/2018,0:00:00,Schalke 04,Hertha,0,2,A,0,1,A,asasd,16,5,4,3,16,15,9,0,1,1,1,0
D1,14/09/2018,0:00:00,Dortmund,Ein Frankfurt,3,1,H,1,0,H,asasd,10,5,6,2,11,11,7,1,0,1,0,0
D1,15/09/2018,0:00:00,Bayern Munich,Leverkusen,3,1,H,2,1,H,asasd,18,3,5,1,4,12,9,1,0,1,0,1
D1,15/09/2018,0:00:00,Fortuna Dusseldorf,Hoffenheim,2,1,H,1,0,H,asasd,8,18,4,5,10,19,0,9,1,2,0,0
D1,15/09/2018,0:00:00,Mainz,Augsburg,2,1,H,0,0,D,asasd,22,13,7,4,9,16,5,4,1,2,0,0
D1,15/09/2018,0:00:00,M'gladbach,Schalke 04,2,1,H,1,0,H,asasd,15,15,4,6,5,12,6,6,0,4,0,0
D1,15/09/2018,0:00:00,RB Leipzig,Hannover,3,2,H,2,1,H,asasd,15,16,6,8,12,12,4,12,4,4,0,0
D1,15/09/2018,0:00:00,Wolfsburg,Hertha,2,2,D,0,0,D,asasd,15,9,6,5,10,13,7,2,1,2,0,0
D1,16/09/2018,0:00:00,Freiburg,Stuttgart,3,3,D,1,1,D,asasd,12,11,5,6,13,11,5,8,3,4,1,0
D1,16/09/2018,0:00:00,Werder Bremen,Nurnberg,1,1,D,1,0,H,asasd,14,11,2,2,17,5,4,7,2,0,0,0
D1,21/09/2018,0:00:00,Stuttgart,Fortuna Dusseldorf,0,0,D,0,0,D,asasd,10,19,1,7,8,19,2,9,0,2,0,0
D1,22/09/2018,0:00:00,Augsburg,Werder Bremen,2,3,A,1,2,A,asasd,21,12,7,7,10,11,7,4,2,2,0,0
D1,22/09/2018,0:00:00,Hertha,M'gladbach,4,2,H,2,1,H,asasd,16,17,7,4,9,13,8,7,2,2,0,0
D1,22/09/2018,0:00:00,Hoffenheim,Dortmund,1,1,D,1,0,H,asasd,17,8,5,2,12,10,4,4,2,1,0,1
D1,22/09/2018,0:00:00,Nurnberg,Hannover,2,0,H,0,0,D,asasd,14,9,6,3,16,7,9,3,3,1,0,1
D1,22/09/2018,0:00:00,Schalke 04,Bayern Munich,0,2,A,0,1,A,asasd,10,14,2,7,12,11,0,8,2,1,0,0
D1,22/09/2018,0:00:00,Wolfsburg,Freiburg,1,3,A,0,2,A,asasd,17,12,9,8,12,17,7,7,0,3,0,0
D1,23/09/2018,0:00:00,Ein Frankfurt,RB Leipzig,1,1,D,1,0,H,asasd,8,9,5,2,14,8,4,2,1,1,0,0
