Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,30/10/10,0:00:00,Werder Bremen,Nurnberg,2,3,A,1,1,D,asd,12,17,6,8,23,15,4,2,2,2,0,0
D1,30/10/10,0:00:00,Wolfsburg,Stuttgart,2,0,H,1,0,H,asd,18,12,9,6,12,14,7,4,0,2,0,0
D1,31/10/10,0:00:00,Hoffenheim,Hannover,4,0,H,1,0,H,asd,18,5,7,2,10,15,4,2,1,1,0,1
D1,31/10/10,0:00:00,Mainz,Dortmund,0,2,A,0,1,A,asd,11,17,4,8,13,25,5,8,1,0,0,0
D1,5/11/2010,0:00:00,Schalke 04,St Pauli,3,0,H,1,0,H,asd,13,6,6,0,15,11,5,3,1,2,0,0
D1,6/11/2010,0:00:00,Ein Frankfurt,Wolfsburg,3,1,H,2,0,H,asd,15,13,8,7,18,25,3,4,1,2,0,0
D1,6/11/2010,0:00:00,Freiburg,Mainz,1,0,H,0,0,D,asd,14,6,4,1,18,17,3,9,2,1,0,0
D1,6/11/2010,0:00:00,Hamburg,Hoffenheim,2,1,H,1,1,D,asd,18,13,2,6,15,27,8,6,1,4,0,0
D1,6/11/2010,0:00:00,M'gladbach,Bayern Munich,3,3,D,1,2,A,asd,9,16,4,6,14,8,2,9,1,0,0,0
D1,6/11/2010,0:00:00,Nurnberg,FC Koln,3,1,H,2,1,H,asd,20,7,6,4,8,15,13,7,1,1,0,0
D1,7/11/2010,0:00:00,Hannover,Dortmund,0,4,A,0,1,A,asd,7,19,2,13,18,10,2,4,0,2,1,0
D1,7/11/2010,0:00:00,Leverkusen,Kaiserslautern,3,1,H,1,1,D,asd,25,12,7,4,14,20,6,2,1,3,0,0
D1,7/11/2010,0:00:00,Stuttgart,Werder Bremen,6,0,H,3,0,H,asd,16,11,12,4,10,15,5,7,1,0,0,0
D1,12/11/2010,0:00:00,Dortmund,Hamburg,2,0,H,0,0,D,asd,11,7,4,1,22,17,4,0,0,1,0,0
D1,13/11/10,0:00:00,FC Koln,M'gladbach,0,4,A,0,0,D,asd,17,19,3,4,16,19,6,7,0,2,0,0
D1,13/11/10,0:00:00,Kaiserslautern,Stuttgart,3,3,D,0,2,A,asd,16,12,5,7,17,18,3,4,3,2,0,0
D1,13/11/10,0:00:00,Mainz,Hannover,0,1,A,0,1,A,asd,12,12,2,5,14,22,3,7,0,1,0,1
D1,13/11/10,0:00:00,St Pauli,Leverkusen,0,1,A,0,0,D,asd,8,23,1,8,22,16,1,3,3,4,0,0
D1,13/11/10,0:00:00,Werder Bremen,Ein Frankfurt,0,0,D,0,0,D,asd,18,13,7,1,14,9,10,3,1,1,0,0
D1,13/11/10,0:00:00,Wolfsburg,Schalke 04,2,2,D,2,1,H,asd,17,13,4,5,12,20,7,7,2,3,1,0
D1,14/11/10,0:00:00,Bayern Munich,Nurnberg,3,0,H,1,0,H,asd,13,12,7,2,16,9,3,2,1,1,0,0
D1,14/11/10,0:00:00,Hoffenheim,Freiburg,0,1,A,0,0,D,asd,12,10,7,3,16,20,3,6,0,1,0,0
D1,20/11/10,0:00:00,Ein Frankfurt,Hoffenheim,0,4,A,0,1,A,asd,8,18,3,9,12,21,2,6,4,4,0,0
D1,20/11/10,0:00:00,Freiburg,Dortmund,1,2,A,1,0,H,asd,9,18,2,8,8,10,3,6,0,1,0,0
D1,20/11/10,0:00:00,Hannover,Hamburg,3,2,H,1,1,D,asd,14,11,5,4,18,20,6,4,2,4,0,0
D1,20/11/10,0:00:00,Leverkusen,Bayern Munich,1,1,D,1,1,D,asd,17,8,8,1,23,14,4,5,2,2,0,0
D1,20/11/10,0:00:00,M'gladbach,Mainz,2,3,A,0,0,D,asd,8,16,4,8,20,13,3,4,1,1,0,0
D1,20/11/10,0:00:00,Nurnberg,Kaiserslautern,1,3,A,0,3,A,asd,18,10,6,7,12,18,8,4,1,3,0,1
D1,20/11/10,0:00:00,Schalke 04,Werder Bremen,4,0,H,2,0,H,asd,14,10,8,2,19,14,8,2,1,1,0,1
D1,21/11/10,0:00:00,St Pauli,Wolfsburg,1,1,D,1,0,H,asd,18,3,5,2,14,27,2,4,0,3,0,0
